angle_right_shoulder_hip_knee,angle_right_hip_knee_ankle,angle_left_shoulder_hip_knee,angle_left_hip_knee_ankle,angle_right_elbow_shoulder_hip,angle_left_elbow_shoulder_hip,angle_right_wrist_elbow_shoulder,angle_left_wrist_elbow_shoulder,ndright_shoulder,aright_shoulder,ndright_elbow,aright_elbow,ndright_wrist,aright_wrist,ndright_hip,aright_hip,ndright_knee,aright_knee,ndright_ankle,aright_ankle,ndleft_shoulder,aleft_shoulder,ndleft_elbow,aleft_elbow,ndleft_wrist,aleft_wrist,ndleft_hip,aleft_hip,ndleft_knee,aleft_knee,ndleft_ankle,aleft_ankle
185.1,179.9,116.0,23.7,46.2,33.0,25.1,23.9,0.02,123.7,0.19,125.4,0.04,102.2,0.36,96.3,0.69,92.6,1.0,91.0,0.0,62.2,0.18,61.0,0.04,79.4,0.34,82.5,0.57,62.9,0.47,85.2
241.0,22.1,175.4,181.1,33.6,41.5,18.3,31.2,0.0,114.0,0.18,117.8,0.03,101.2,0.34,97.1,0.57,116.0,0.45,95.4,0.02,53.4,0.18,54.9,0.04,79.4,0.36,83.0,0.69,87.0,1.0,89.0
183.4,181.2,116.2,26.0,42.9,31.2,27.5,20.5,0.02,123.9,0.17,124.4,0.03,100.3,0.36,96.6,0.69,92.5,1.0,91.0,0.0,61.8,0.19,62.0,0.03,77.9,0.34,82.6,0.58,63.1,0.48,85.6
242.6,22.5,176.4,180.3,32.9,41.7,19.0,32.5,0.0,114.9,0.18,117.6,0.03,101.1,0.34,96.8,0.57,116.1,0.46,95.3,0.01,53.2,0.17,54.4,0.04,78.1,0.36,83.0,0.68,87.1,1.0,89.1
182.8,181.8,115.0,23.5,39.3,32.3,30.6,17.1,0.01,124.3,0.16,123.3,0.02,96.8,0.36,96.6,0.69,92.4,1.0,91.1,0.0,62.1,0.19,61.7,0.03,75.7,0.34,82.9,0.57,63.1,0.47,85.4
241.7,22.7,175.9,179.9,31.3,37.5,17.6,35.9,0.0,114.2,0.18,116.7,0.03,101.5,0.34,97.1,0.57,116.0,0.46,95.2,0.01,52.5,0.15,55.9,0.03,80.3,0.36,83.2,0.69,87.1,1.0,88.9
184.1,180.6,117.3,25.7,38.3,30.8,36.1,19.0,0.01,125.5,0.15,123.4,0.03,96.3,0.36,96.3,0.69,92.5,1.0,91.0,0.0,63.8,0.19,62.8,0.05,76.3,0.35,82.9,0.57,64.2,0.47,85.6
241.1,22.8,174.8,180.2,27.9,32.9,17.5,37.3,0.0,114.9,0.19,115.7,0.04,103.2,0.35,97.3,0.58,115.9,0.47,95.2,0.01,52.4,0.16,58.2,0.03,83.5,0.36,83.6,0.69,87.3,1.0,89.0
184.7,180.8,117.7,24.5,34.2,28.6,36.8,16.0,0.02,126.6,0.15,122.2,0.01,91.3,0.36,96.6,0.69,92.8,1.0,91.3,0.0,64.5,0.19,64.1,0.03,77.2,0.35,82.9,0.57,64.2,0.47,85.8
239.4,24.9,174.1,180.7,30.7,35.7,14.3,40.7,0.0,112.1,0.19,116.2,0.03,102.0,0.35,97.1,0.56,115.0,0.47,95.0,0.02,51.5,0.16,56.5,0.04,83.3,0.36,83.4,0.68,86.9,1.0,88.8
185.6,180.3,118.6,27.9,33.6,28.1,39.2,14.3,0.02,126.9,0.16,121.8,0.03,91.3,0.37,96.2,0.7,92.7,1.0,91.3,0.0,66.0,0.19,64.6,0.05,75.2,0.35,83.1,0.56,64.7,0.48,86.1
239.2,24.8,174.7,179.1,30.1,33.7,14.1,44.3,0.0,111.5,0.19,115.6,0.04,103.2,0.35,96.9,0.57,114.7,0.47,94.8,0.02,52.9,0.15,57.8,0.04,85.3,0.37,83.5,0.68,87.1,1.0,88.6
185.4,180.4,118.2,27.3,34.9,29.6,39.5,12.5,0.02,126.1,0.16,122.1,0.03,91.7,0.37,96.4,0.69,92.8,1.0,91.3,0.0,67.2,0.19,64.6,0.05,74.4,0.35,83.5,0.56,64.9,0.48,85.9
238.1,23.8,174.7,179.9,29.3,30.0,14.3,45.6,0.0,111.9,0.19,115.5,0.04,102.8,0.35,97.0,0.57,114.9,0.47,94.6,0.02,52.3,0.15,58.9,0.03,87.4,0.37,83.4,0.69,87.2,1.0,88.8
184.7,180.5,118.7,26.9,30.9,28.1,41.0,11.4,0.02,127.7,0.16,121.3,0.03,91.0,0.37,96.6,0.7,92.8,1.0,91.2,0.0,67.9,0.2,65.2,0.05,74.4,0.35,83.4,0.56,64.8,0.48,86.0
239.9,24.0,175.9,179.7,29.6,28.2,13.0,47.7,0.0,111.2,0.19,115.1,0.04,102.6,0.35,96.4,0.57,114.8,0.47,94.2,0.02,51.6,0.15,59.1,0.04,89.4,0.37,82.9,0.69,87.1,1.0,88.8
185.4,180.0,120.2,27.3,31.2,28.2,42.0,9.3,0.02,127.7,0.16,121.3,0.03,90.9,0.37,96.5,0.7,92.8,1.0,91.2,0.0,69.1,0.2,65.5,0.05,73.8,0.35,83.4,0.56,65.1,0.48,85.8
238.4,26.0,174.5,180.0,30.0,23.9,6.7,52.8,0.0,108.2,0.19,114.6,0.04,105.3,0.35,96.4,0.56,114.7,0.48,93.9,0.02,51.0,0.15,60.9,0.04,92.3,0.36,83.1,0.69,87.1,1.0,88.8
184.5,181.7,120.5,28.4,29.0,28.7,46.1,8.3,0.02,127.7,0.15,120.6,0.03,87.9,0.37,96.3,0.69,92.4,1.0,91.1,0.0,69.2,0.2,65.2,0.06,72.7,0.35,83.5,0.56,65.5,0.48,85.8
240.4,26.3,175.7,179.4,28.3,21.3,6.7,55.0,0.0,108.7,0.19,113.6,0.04,105.2,0.35,96.2,0.55,114.5,0.47,93.7,0.02,51.6,0.14,61.7,0.04,94.9,0.37,83.0,0.69,87.2,1.0,88.9
184.5,180.3,121.3,27.7,22.9,27.3,53.8,8.2,0.03,127.9,0.15,118.8,0.05,85.9,0.38,96.7,0.69,92.8,1.0,91.1,0.0,70.0,0.2,65.8,0.06,73.4,0.36,83.5,0.56,65.6,0.48,85.9
238.1,26.7,176.2,178.2,35.8,13.7,2.5,55.1,0.01,106.6,0.18,116.5,0.02,105.2,0.36,95.9,0.55,113.4,0.48,94.2,0.03,49.8,0.12,62.3,0.0,99.4,0.37,82.9,0.68,87.3,1.0,88.8
184.7,183.5,123.1,27.7,16.5,29.8,56.7,5.4,0.05,128.7,0.13,119.1,0.01,82.6,0.38,96.8,0.7,92.5,1.0,91.5,0.0,73.3,0.19,65.6,0.04,74.2,0.37,84.3,0.57,66.9,0.49,86.9
237.9,28.1,175.7,177.8,38.8,5.1,0.5,59.5,0.02,105.0,0.18,117.4,0.03,105.1,0.36,95.5,0.55,113.1,0.48,93.7,0.05,48.3,0.13,63.5,0.0,99.6,0.38,82.6,0.69,87.1,1.0,88.6
184.6,184.0,122.6,28.1,2.1,31.8,65.1,2.2,0.05,130.3,0.12,116.0,0.0,82.2,0.38,97.3,0.69,92.6,1.0,91.7,0.0,74.6,0.18,65.3,0.03,73.9,0.36,84.6,0.56,67.1,0.49,87.5
238.0,28.7,175.6,178.0,50.2,3.3,10.9,60.9,0.06,111.1,0.19,124.5,0.03,118.1,0.39,96.6,0.57,113.1,0.51,94.6,0.08,51.6,0.11,59.5,0.0,102.3,0.4,83.8,0.7,87.7,1.0,88.9
182.9,185.0,121.6,29.2,11.5,52.2,78.5,11.6,0.08,128.7,0.1,120.7,0.0,80.9,0.41,96.8,0.71,92.1,1.0,91.3,0.06,69.3,0.19,55.4,0.02,62.5,0.39,83.9,0.58,67.1,0.52,85.5
237.0,28.6,177.7,175.7,60.9,14.4,22.4,76.9,0.07,109.4,0.18,127.9,0.02,126.9,0.4,96.1,0.58,112.8,0.52,93.9,0.1,52.8,0.11,57.7,0.0,102.4,0.42,83.2,0.71,87.8,1.0,88.7
182.2,185.0,122.0,28.7,31.3,59.6,96.4,17.7,0.1,127.0,0.1,121.4,0.0,73.2,0.42,96.6,0.72,92.0,1.0,91.2,0.08,68.6,0.19,52.6,0.02,57.9,0.41,83.8,0.59,67.2,0.53,85.1
236.5,30.2,177.0,175.8,71.1,49.5,35.9,105.4,0.1,116.8,0.18,134.6,0.02,161.6,0.42,97.5,0.6,113.5,0.53,94.5,0.11,51.9,0.11,59.6,0.0,135.6,0.43,84.3,0.71,88.5,1.0,89.2
182.7,184.7,125.4,31.0,96.2,72.5,210.4,30.5,0.12,126.0,0.1,116.4,0.0,38.0,0.44,96.0,0.73,91.8,1.0,91.2,0.1,70.0,0.19,48.0,0.04,48.5,0.42,83.6,0.61,67.9,0.54,85.5
236.2,30.5,175.8,177.1,81.1,271.9,47.1,136.9,0.09,119.8,0.18,142.3,0.03,186.7,0.41,98.6,0.6,114.4,0.53,95.7,0.1,51.6,0.07,65.3,0.0,192.4,0.42,85.6,0.72,89.2,1.0,89.9
183.2,184.4,126.6,33.0,106.7,78.6,201.4,40.8,0.12,126.9,0.08,116.8,0.0,16.0,0.44,95.5,0.73,91.5,1.0,90.9,0.1,69.0,0.18,44.0,0.03,27.1,0.42,83.2,0.61,67.8,0.55,85.1
231.0,31.2,174.0,178.1,267.1,242.6,60.1,166.2,0.06,121.0,0.15,150.6,0.03,204.9,0.4,99.6,0.6,114.1,0.52,96.4,0.07,51.0,0.02,59.7,0.0,218.7,0.41,86.6,0.71,89.2,1.0,89.9
183.0,184.6,126.0,34.6,124.1,94.6,195.1,300.2,0.12,127.7,0.05,121.1,0.0,306.8,0.44,95.8,0.73,91.8,1.0,91.2,0.1,71.0,0.16,37.5,0.02,353.3,0.42,83.8,0.6,68.0,0.55,85.5
230.6,30.6,174.6,178.4,260.4,239.3,66.4,166.0,0.05,118.4,0.12,153.4,0.02,213.6,0.39,98.6,0.6,113.3,0.52,95.5,0.07,48.4,0.0,56.1,0.0,231.3,0.4,85.7,0.71,88.8,1.0,89.7
183.2,184.6,126.4,33.2,119.7,102.4,204.5,291.4,0.08,131.6,0.01,120.9,0.0,293.8,0.42,95.8,0.72,91.7,1.0,91.1,0.07,71.2,0.12,32.6,0.0,332.7,0.4,83.9,0.59,68.0,0.53,85.8
230.4,32.0,173.9,178.2,255.3,240.0,72.9,161.6,0.06,116.4,0.13,156.9,0.04,222.7,0.4,98.1,0.6,113.0,0.53,95.2,0.08,45.7,0.0,53.9,0.03,240.5,0.41,85.7,0.71,88.7,1.0,89.5
184.3,183.4,129.0,35.5,124.9,107.6,200.0,286.2,0.09,131.6,0.0,125.1,0.02,289.6,0.42,95.6,0.72,91.8,1.0,91.1,0.07,72.0,0.12,29.2,0.01,323.8,0.41,83.6,0.6,68.6,0.55,86.1
231.3,33.2,173.7,178.1,246.6,236.7,81.3,161.9,0.07,114.8,0.12,160.6,0.06,233.6,0.4,97.3,0.6,112.5,0.53,94.6,0.09,44.1,0.0,45.9,0.04,249.7,0.42,85.0,0.72,88.2,1.0,89.0
185.2,182.1,129.2,35.8,130.3,112.3,190.9,280.8,0.1,132.8,0.0,135.7,0.03,289.4,0.42,96.1,0.72,92.4,1.0,91.4,0.07,75.4,0.1,26.5,0.02,314.9,0.41,84.4,0.59,69.2,0.54,86.9
231.2,31.9,175.2,177.3,239.1,226.2,89.3,171.3,0.06,114.9,0.11,165.0,0.06,236.5,0.41,97.2,0.6,112.1,0.54,94.4,0.08,47.7,0.0,41.2,0.03,254.2,0.42,85.1,0.72,88.5,1.0,89.2
183.0,184.7,127.5,323.9,140.6,124.2,180.7,271.3,0.11,129.4,0.0,149.6,0.05,287.5,0.44,95.8,0.73,91.8,1.0,91.2,0.09,74.4,0.11,19.2,0.05,304.0,0.43,84.3,0.6,69.1,0.56,86.1
229.8,37.2,174.9,175.5,216.7,200.8,116.1,196.0,0.04,110.6,0.06,190.4,0.1,257.1,0.4,97.9,0.59,112.4,0.54,94.4,0.07,49.6,0.0,324.5,0.09,269.1,0.42,86.0,0.71,89.0,1.0,89.1
182.9,184.0,132.2,38.1,161.2,141.5,149.8,247.5,0.06,131.9,0.0,226.4,0.07,276.4,0.41,95.5,0.72,91.5,1.0,90.9,0.02,72.4,0.03,350.7,0.08,282.0,0.38,83.3,0.58,68.5,0.54,85.6
229.1,37.9,175.4,175.8,210.4,199.0,123.8,192.9,0.03,109.2,0.04,201.0,0.11,261.5,0.4,97.8,0.58,112.3,0.54,94.3,0.06,47.3,0.0,320.0,0.1,273.5,0.41,85.6,0.71,88.8,1.0,89.1
182.3,183.7,131.5,320.9,164.5,148.1,154.1,239.4,0.04,131.1,0.0,232.4,0.09,271.9,0.4,95.2,0.71,91.3,1.0,90.7,0.01,71.6,0.01,342.8,0.08,277.8,0.38,83.1,0.57,68.5,0.53,85.6
229.4,36.7,175.9,176.0,205.0,197.3,132.2,192.5,0.03,105.1,0.02,208.1,0.12,265.2,0.4,97.2,0.58,111.9,0.54,93.7,0.05,49.2,0.0,313.7,0.1,275.7,0.41,85.1,0.72,88.5,1.0,88.9
181.6,184.5,132.4,320.9,167.7,151.9,154.5,233.1,0.04,129.2,0.0,228.3,0.09,269.1,0.4,95.2,0.72,91.2,1.0,90.7,0.01,74.0,0.01,335.9,0.09,276.3,0.38,83.2,0.58,68.7,0.53,85.4
227.9,37.4,175.5,176.4,198.3,193.0,141.6,192.5,0.01,103.2,0.0,227.0,0.13,270.9,0.4,97.1,0.58,111.3,0.54,93.5,0.05,47.6,0.02,314.3,0.12,281.3,0.41,85.1,0.72,88.4,1.0,88.9
181.2,184.7,132.7,319.1,169.7,164.3,168.3,216.7,0.03,128.5,0.0,228.8,0.15,263.6,0.4,95.2,0.72,91.1,1.0,90.7,0.01,72.8,0.0,314.0,0.14,270.3,0.38,83.0,0.57,68.7,0.53,85.7
226.8,34.9,175.2,176.3,196.1,191.7,149.9,191.1,0.01,100.4,0.0,237.5,0.15,272.6,0.4,97.3,0.58,111.4,0.53,94.3,0.05,45.5,0.02,319.0,0.15,281.1,0.41,85.6,0.72,88.7,1.0,89.0
181.2,184.8,133.8,319.6,168.9,167.2,171.5,209.3,0.04,134.3,0.01,222.1,0.15,259.7,0.39,95.7,0.71,91.2,1.0,90.6,0.01,76.3,0.0,302.0,0.17,267.0,0.37,83.3,0.56,69.0,0.52,86.6
226.5,34.7,176.1,175.2,194.3,192.6,153.7,188.3,0.02,99.5,0.0,241.5,0.16,272.8,0.4,97.2,0.58,111.2,0.53,94.1,0.05,46.2,0.03,313.1,0.16,279.7,0.42,85.7,0.72,88.9,1.0,89.0
180.7,186.2,132.4,37.1,170.3,168.4,172.0,204.3,0.03,133.5,0.01,218.3,0.15,258.3,0.4,95.5,0.71,91.0,1.0,90.8,0.0,76.8,0.0,297.3,0.17,268.1,0.38,83.3,0.56,68.9,0.52,86.0
226.8,33.3,177.1,174.5,193.6,195.0,156.0,183.7,0.03,92.7,0.0,250.1,0.17,275.5,0.41,95.7,0.58,110.3,0.53,93.3,0.06,41.8,0.04,311.1,0.18,281.5,0.42,84.3,0.72,88.3,1.0,88.6
180.4,186.8,131.7,33.8,170.6,166.0,170.8,205.8,0.05,136.4,0.03,220.5,0.17,257.2,0.41,96.1,0.72,91.3,1.0,91.1,0.0,82.3,0.01,293.5,0.19,266.5,0.39,84.1,0.57,68.9,0.52,85.7
226.5,33.6,176.5,174.8,192.6,194.0,158.8,184.2,0.01,95.4,0.0,251.3,0.17,273.9,0.4,96.4,0.57,110.5,0.52,93.7,0.04,41.2,0.03,308.3,0.18,280.1,0.41,85.3,0.71,88.7,1.0,88.8
180.5,185.8,132.2,36.3,169.7,170.1,172.9,200.7,0.04,135.7,0.02,219.8,0.17,258.2,0.4,96.4,0.71,91.6,1.0,91.1,0.0,82.3,0.0,287.9,0.18,265.9,0.38,84.6,0.56,69.6,0.51,86.8
128.6,283.9,186.0,178.2,33.2,29.0,16.9,17.5,0.0,64.2,0.2,61.0,0.09,55.2,0.36,82.8,0.52,71.3,0.6,84.2,0.04,126.7,0.21,118.3,0.09,114.7,0.37,96.0,0.67,92.2,1.0,89.8
175.4,181.0,247.4,24.6,31.5,34.1,12.9,23.3,0.04,53.0,0.21,59.8,0.1,61.9,0.37,83.4,0.66,87.4,1.0,89.9,0.0,112.5,0.18,118.1,0.1,124.5,0.36,96.3,0.54,116.7,0.48,97.3
120.1,303.7,184.9,179.8,32.4,25.9,16.8,16.0,0.0,68.5,0.21,63.5,0.1,57.8,0.36,84.9,0.51,70.6,0.55,84.6,0.06,126.5,0.23,117.3,0.12,115.5,0.38,97.0,0.68,92.6,1.0,90.4
174.6,181.3,245.3,31.2,24.1,31.9,12.5,25.2,0.04,54.4,0.21,64.0,0.09,64.4,0.38,83.8,0.66,87.5,1.0,89.9,0.0,111.7,0.19,116.7,0.09,124.6,0.35,96.4,0.53,115.1,0.49,97.5
123.0,320.0,183.9,180.3,31.6,2.7,29.1,42.4,0.0,82.3,0.2,68.3,0.07,56.0,0.36,87.7,0.52,71.8,0.51,91.6,0.07,128.0,0.23,107.9,0.15,102.2,0.4,98.7,0.69,94.0,1.0,91.7
174.1,181.4,241.6,16.9,1.8,29.0,78.0,35.2,0.07,52.7,0.22,73.3,0.19,82.0,0.39,82.7,0.67,86.7,1.0,89.3,0.0,102.9,0.19,113.2,0.09,126.5,0.36,95.2,0.55,115.3,0.45,96.1
118.9,316.8,182.9,182.0,32.0,0.8,30.6,49.9,0.0,77.7,0.19,66.3,0.07,52.2,0.36,86.4,0.52,68.7,0.53,87.9,0.07,127.5,0.22,105.8,0.15,99.6,0.39,98.1,0.68,93.1,1.0,91.1
176.1,180.2,243.1,20.2,0.1,32.1,76.9,37.4,0.06,53.6,0.21,75.3,0.17,86.2,0.38,83.3,0.67,87.5,1.0,89.8,0.0,107.2,0.19,116.3,0.09,133.1,0.36,95.3,0.55,116.2,0.46,96.5
122.9,322.5,182.6,180.9,33.5,3.5,33.8,90.9,0.0,85.3,0.19,68.4,0.06,54.7,0.36,87.7,0.53,70.2,0.51,90.0,0.06,128.2,0.21,105.2,0.2,98.6,0.38,99.0,0.68,93.7,1.0,91.4
176.1,177.5,242.4,17.2,1.9,31.7,239.9,41.6,0.07,51.0,0.21,74.4,0.22,85.1,0.39,82.6,0.67,87.1,1.0,88.9,0.0,98.9,0.18,112.9,0.08,132.8,0.36,93.3,0.55,114.4,0.45,94.6
122.9,319.7,180.3,184.3,31.9,8.4,36.7,64.7,0.0,85.7,0.19,68.4,0.07,52.5,0.37,87.5,0.53,70.0,0.53,88.5,0.07,127.9,0.21,103.1,0.12,89.1,0.4,98.5,0.68,93.0,1.0,91.3
175.9,177.4,240.2,24.8,6.7,33.1,71.5,41.9,0.06,53.4,0.19,77.4,0.13,89.9,0.39,83.4,0.67,87.7,1.0,89.1,0.0,99.2,0.19,113.9,0.08,134.2,0.36,93.7,0.55,113.8,0.48,94.7
129.3,313.8,181.2,183.2,31.5,8.6,39.7,59.6,0.0,89.6,0.19,69.9,0.07,54.8,0.37,87.8,0.54,72.6,0.54,87.2,0.07,128.2,0.21,102.6,0.13,91.5,0.4,98.6,0.68,93.2,1.0,91.4
176.0,178.6,239.7,29.9,6.8,32.7,98.0,41.9,0.07,53.6,0.21,77.2,0.19,88.3,0.39,82.5,0.69,87.0,1.0,88.7,0.0,94.5,0.19,111.8,0.07,131.1,0.37,92.5,0.56,112.9,0.51,93.0
127.6,324.6,182.2,181.6,33.0,11.6,41.4,55.4,0.0,92.4,0.19,69.2,0.07,51.4,0.36,88.4,0.52,72.6,0.49,94.0,0.07,128.8,0.21,101.4,0.1,88.3,0.4,98.5,0.69,93.4,1.0,91.4
175.7,179.0,238.6,25.7,7.3,30.1,91.2,43.1,0.07,50.7,0.2,75.5,0.18,84.3,0.4,82.1,0.69,86.6,1.0,88.6,0.0,95.5,0.18,111.3,0.08,131.2,0.36,93.1,0.55,113.1,0.48,93.0
128.2,30.7,181.2,184.9,29.9,9.8,41.0,57.3,0.0,86.1,0.19,68.9,0.08,53.1,0.36,86.4,0.53,70.3,0.48,93.3,0.06,126.4,0.23,99.1,0.16,91.3,0.4,97.5,0.67,92.6,1.0,91.3
176.5,177.3,234.8,27.9,8.5,29.8,60.7,45.7,0.07,48.1,0.19,75.6,0.11,87.3,0.39,82.5,0.68,87.4,1.0,89.0,0.0,95.1,0.18,112.3,0.09,135.8,0.36,93.4,0.55,112.7,0.48,90.0
128.4,32.3,181.7,184.4,31.2,12.7,44.9,65.9,0.0,88.6,0.18,68.1,0.08,48.4,0.36,87.0,0.53,70.4,0.48,94.1,0.07,130.2,0.19,100.8,0.11,86.5,0.39,97.7,0.67,92.6,1.0,91.2
178.3,175.2,234.7,27.5,9.8,28.9,69.6,46.4,0.07,50.2,0.19,77.4,0.12,92.1,0.39,82.3,0.69,87.6,1.0,88.8,0.0,90.4,0.18,109.9,0.09,131.0,0.36,92.6,0.55,111.5,0.49,91.9
130.8,34.9,180.6,185.7,30.1,6.1,45.6,74.7,0.0,88.9,0.18,69.3,0.08,50.4,0.36,87.0,0.53,71.3,0.49,93.5,0.07,128.1,0.24,101.4,0.2,93.6,0.39,98.0,0.67,92.7,1.0,91.5
177.8,178.0,235.3,33.2,11.6,29.4,62.1,45.3,0.06,54.3,0.19,79.1,0.11,92.6,0.39,82.1,0.7,86.9,1.0,88.6,0.0,90.8,0.18,108.9,0.08,127.4,0.36,91.9,0.55,110.8,0.51,90.0
