angle_right_shoulder_hip_knee,angle_right_hip_knee_ankle,angle_left_shoulder_hip_knee,angle_left_hip_knee_ankle,angle_right_elbow_shoulder_hip,angle_left_elbow_shoulder_hip,angle_right_wrist_elbow_shoulder,angle_left_wrist_elbow_shoulder,ndright_shoulder,aright_shoulder,ndright_elbow,aright_elbow,ndright_wrist,aright_wrist,ndright_hip,aright_hip,ndright_knee,aright_knee,ndright_ankle,aright_ankle,ndleft_shoulder,aleft_shoulder,ndleft_elbow,aleft_elbow,ndleft_wrist,aleft_wrist,ndleft_hip,aleft_hip,ndleft_knee,aleft_knee,ndleft_ankle,aleft_ankle,pose
186.1,178.3,115.2,23.3,47.7,33.2,27.0,25.7,0.02,124.7,0.19,126.5,0.05,103.1,0.36,96.4,0.69,92.9,1.0,90.9,0.0,62.9,0.18,61.3,0.05,80.1,0.34,82.7,0.56,63.0,0.46,85.5,1.0
242.6,22.8,176.0,181.2,36.5,43.5,22.2,30.5,0.0,115.8,0.17,119.6,0.04,101.5,0.33,97.2,0.57,116.4,0.46,95.5,0.01,53.4,0.18,53.9,0.04,77.3,0.36,83.0,0.68,87.1,1.0,89.2,1.0
185.1,179.9,116.0,23.7,46.2,33.0,25.1,23.9,0.02,123.7,0.19,125.4,0.04,102.2,0.36,96.3,0.69,92.6,1.0,91.0,0.0,62.2,0.18,61.0,0.04,79.4,0.34,82.5,0.57,62.9,0.47,85.2,1.0
241.0,22.1,175.4,181.1,33.6,41.5,18.3,31.2,0.0,114.0,0.18,117.8,0.03,101.2,0.34,97.1,0.57,116.0,0.45,95.4,0.02,53.4,0.18,54.9,0.04,79.4,0.36,83.0,0.69,87.0,1.0,89.0,1.0
183.4,181.2,116.2,26.0,42.9,31.2,27.5,20.5,0.02,123.9,0.17,124.4,0.03,100.3,0.36,96.6,0.69,92.5,1.0,91.0,0.0,61.8,0.19,62.0,0.03,77.9,0.34,82.6,0.58,63.1,0.48,85.6,1.0
242.6,22.5,176.4,180.3,32.9,41.7,19.0,32.5,0.0,114.9,0.18,117.6,0.03,101.1,0.34,96.8,0.57,116.1,0.46,95.3,0.01,53.2,0.17,54.4,0.04,78.1,0.36,83.0,0.68,87.1,1.0,89.1,1.0
182.8,181.8,115.0,23.5,39.3,32.3,30.6,17.1,0.01,124.3,0.16,123.3,0.02,96.8,0.36,96.6,0.69,92.4,1.0,91.1,0.0,62.1,0.19,61.7,0.03,75.7,0.34,82.9,0.57,63.1,0.47,85.4,1.0
241.7,22.7,175.9,179.9,31.3,37.5,17.6,35.9,0.0,114.2,0.18,116.7,0.03,101.5,0.34,97.1,0.57,116.0,0.46,95.2,0.01,52.5,0.15,55.9,0.03,80.3,0.36,83.2,0.69,87.1,1.0,88.9,1.0
184.1,180.6,117.3,25.7,38.3,30.8,36.1,19.0,0.01,125.5,0.15,123.4,0.03,96.3,0.36,96.3,0.69,92.5,1.0,91.0,0.0,63.8,0.19,62.8,0.05,76.3,0.35,82.9,0.57,64.2,0.47,85.6,1.0
241.1,22.8,174.8,180.2,27.9,32.9,17.5,37.3,0.0,114.9,0.19,115.7,0.04,103.2,0.35,97.3,0.58,115.9,0.47,95.2,0.01,52.4,0.16,58.2,0.03,83.5,0.36,83.6,0.69,87.3,1.0,89.0,1.0
184.7,180.8,117.7,24.5,34.2,28.6,36.8,16.0,0.02,126.6,0.15,122.2,0.01,91.3,0.36,96.6,0.69,92.8,1.0,91.3,0.0,64.5,0.19,64.1,0.03,77.2,0.35,82.9,0.57,64.2,0.47,85.8,1.0
239.4,24.9,174.1,180.7,30.7,35.7,14.3,40.7,0.0,112.1,0.19,116.2,0.03,102.0,0.35,97.1,0.56,115.0,0.47,95.0,0.02,51.5,0.16,56.5,0.04,83.3,0.36,83.4,0.68,86.9,1.0,88.8,1.0
185.6,180.3,118.6,27.9,33.6,28.1,39.2,14.3,0.02,126.9,0.16,121.8,0.03,91.3,0.37,96.2,0.7,92.7,1.0,91.3,0.0,66.0,0.19,64.6,0.05,75.2,0.35,83.1,0.56,64.7,0.48,86.1,1.0
239.2,24.8,174.7,179.1,30.1,33.7,14.1,44.3,0.0,111.5,0.19,115.6,0.04,103.2,0.35,96.9,0.57,114.7,0.47,94.8,0.02,52.9,0.15,57.8,0.04,85.3,0.37,83.5,0.68,87.1,1.0,88.6,1.0
185.4,180.4,118.2,27.3,34.9,29.6,39.5,12.5,0.02,126.1,0.16,122.1,0.03,91.7,0.37,96.4,0.69,92.8,1.0,91.3,0.0,67.2,0.19,64.6,0.05,74.4,0.35,83.5,0.56,64.9,0.48,85.9,1.0
238.1,23.8,174.7,179.9,29.3,30.0,14.3,45.6,0.0,111.9,0.19,115.5,0.04,102.8,0.35,97.0,0.57,114.9,0.47,94.6,0.02,52.3,0.15,58.9,0.03,87.4,0.37,83.4,0.69,87.2,1.0,88.8,1.0
184.7,180.5,118.7,26.9,30.9,28.1,41.0,11.4,0.02,127.7,0.16,121.3,0.03,91.0,0.37,96.6,0.7,92.8,1.0,91.2,0.0,67.9,0.2,65.2,0.05,74.4,0.35,83.4,0.56,64.8,0.48,86.0,1.0
239.9,24.0,175.9,179.7,29.6,28.2,13.0,47.7,0.0,111.2,0.19,115.1,0.04,102.6,0.35,96.4,0.57,114.8,0.47,94.2,0.02,51.6,0.15,59.1,0.04,89.4,0.37,82.9,0.69,87.1,1.0,88.8,1.0
185.4,180.0,120.2,27.3,31.2,28.2,42.0,9.3,0.02,127.7,0.16,121.3,0.03,90.9,0.37,96.5,0.7,92.8,1.0,91.2,0.0,69.1,0.2,65.5,0.05,73.8,0.35,83.4,0.56,65.1,0.48,85.8,1.0
238.4,26.0,174.5,180.0,30.0,23.9,6.7,52.8,0.0,108.2,0.19,114.6,0.04,105.3,0.35,96.4,0.56,114.7,0.48,93.9,0.02,51.0,0.15,60.9,0.04,92.3,0.36,83.1,0.69,87.1,1.0,88.8,1.0
184.5,181.7,120.5,28.4,29.0,28.7,46.1,8.3,0.02,127.7,0.15,120.6,0.03,87.9,0.37,96.3,0.69,92.4,1.0,91.1,0.0,69.2,0.2,65.2,0.06,72.7,0.35,83.5,0.56,65.5,0.48,85.8,1.0
240.4,26.3,175.7,179.4,28.3,21.3,6.7,55.0,0.0,108.7,0.19,113.6,0.04,105.2,0.35,96.2,0.55,114.5,0.47,93.7,0.02,51.6,0.14,61.7,0.04,94.9,0.37,83.0,0.69,87.2,1.0,88.9,1.0
184.5,180.3,121.3,27.7,22.9,27.3,53.8,8.2,0.03,127.9,0.15,118.8,0.05,85.9,0.38,96.7,0.69,92.8,1.0,91.1,0.0,70.0,0.2,65.8,0.06,73.4,0.36,83.5,0.56,65.6,0.48,85.9,1.0
238.1,26.7,176.2,178.2,35.8,13.7,2.5,55.1,0.01,106.6,0.18,116.5,0.02,105.2,0.36,95.9,0.55,113.4,0.48,94.2,0.03,49.8,0.12,62.3,0.0,99.4,0.37,82.9,0.68,87.3,1.0,88.8,1.0
184.7,183.5,123.1,27.7,16.5,29.8,56.7,5.4,0.05,128.7,0.13,119.1,0.01,82.6,0.38,96.8,0.7,92.5,1.0,91.5,0.0,73.3,0.19,65.6,0.04,74.2,0.37,84.3,0.57,66.9,0.49,86.9,1.0
237.9,28.1,175.7,177.8,38.8,5.1,0.5,59.5,0.02,105.0,0.18,117.4,0.03,105.1,0.36,95.5,0.55,113.1,0.48,93.7,0.05,48.3,0.13,63.5,0.0,99.6,0.38,82.6,0.69,87.1,1.0,88.6,1.0
184.6,184.0,122.6,28.1,2.1,31.8,65.1,2.2,0.05,130.3,0.12,116.0,0.0,82.2,0.38,97.3,0.69,92.6,1.0,91.7,0.0,74.6,0.18,65.3,0.03,73.9,0.36,84.6,0.56,67.1,0.49,87.5,1.0
