angle_right_shoulder_hip_knee,angle_right_hip_knee_ankle,angle_left_shoulder_hip_knee,angle_left_hip_knee_ankle,angle_right_elbow_shoulder_hip,angle_left_elbow_shoulder_hip,angle_right_wrist_elbow_shoulder,angle_left_wrist_elbow_shoulder,ndright_shoulder,aright_shoulder,ndright_elbow,aright_elbow,ndright_wrist,aright_wrist,ndright_hip,aright_hip,ndright_knee,aright_knee,ndright_ankle,aright_ankle,ndleft_shoulder,aleft_shoulder,ndleft_elbow,aleft_elbow,ndleft_wrist,aleft_wrist,ndleft_hip,aleft_hip,ndleft_knee,aleft_knee,ndleft_ankle,aleft_ankle,pose
185.9,184.1,106.0,303.5,118.4,116.8,208.7,263.4,0.13,138.7,0.0,130.0,0.12,288.5,0.46,96.1,0.75,92.1,1.0,91.4,0.05,84.0,0.12,359.1,0.14,301.8,0.42,85.7,0.47,70.7,0.56,85.4,1.0
256.7,55.5,178.6,174.0,244.3,238.1,94.8,150.5,0.05,104.2,0.13,180.1,0.15,238.9,0.43,94.4,0.49,109.6,0.57,95.7,0.13,43.2,0.0,64.0,0.13,250.5,0.48,84.2,0.74,88.7,1.0,89.3,1.0
185.8,184.3,109.0,298.9,125.4,116.5,201.1,263.1,0.13,136.5,0.0,149.2,0.14,287.4,0.47,95.2,0.75,91.6,1.0,91.1,0.05,86.1,0.13,354.5,0.15,300.4,0.42,85.2,0.48,71.2,0.57,85.1,1.0
254.3,59.1,177.7,174.0,238.3,231.4,102.5,157.3,0.06,101.2,0.12,183.8,0.15,240.9,0.44,94.5,0.49,109.1,0.58,96.1,0.13,44.9,0.0,23.4,0.13,254.7,0.48,84.6,0.75,88.9,1.0,89.3,1.0
185.3,184.6,111.9,287.4,131.4,119.6,195.4,258.1,0.12,138.3,0.0,222.7,0.16,285.2,0.47,94.7,0.75,91.2,1.0,90.8,0.04,87.8,0.13,343.6,0.18,295.6,0.42,84.2,0.46,73.3,0.58,84.8,1.0
254.8,59.2,179.5,173.3,234.4,225.4,108.7,163.7,0.05,102.1,0.1,181.9,0.14,242.7,0.44,94.9,0.5,108.7,0.59,95.7,0.13,53.5,0.0,55.9,0.08,253.4,0.48,85.5,0.74,89.6,1.0,89.9,1.0
185.3,184.5,112.3,285.9,137.8,129.2,190.2,246.7,0.1,136.8,0.0,252.1,0.17,283.3,0.45,94.1,0.74,90.7,1.0,90.4,0.02,87.0,0.11,332.4,0.18,290.8,0.4,83.8,0.45,72.6,0.57,83.9,1.0
249.8,62.2,178.2,172.7,220.4,214.2,132.5,174.0,0.05,94.4,0.08,206.4,0.18,252.2,0.44,95.1,0.5,107.5,0.58,95.7,0.12,50.7,0.0,335.8,0.14,262.4,0.49,86.0,0.74,89.6,1.0,89.6,1.0
185.5,183.4,132.1,265.4,141.9,139.4,190.7,225.5,0.09,135.1,0.0,234.8,0.15,276.6,0.46,92.7,0.74,90.0,1.0,89.7,0.01,80.3,0.11,317.8,0.23,287.2,0.41,81.9,0.47,75.0,0.57,83.1,1.0
249.4,62.9,178.4,173.2,216.2,211.0,140.8,172.5,0.03,89.0,0.05,216.9,0.18,255.6,0.43,94.9,0.48,107.6,0.57,95.6,0.1,49.9,0.0,305.8,0.17,266.1,0.48,85.7,0.74,89.4,1.0,89.6,1.0
184.3,183.4,138.2,254.2,146.3,146.1,189.5,215.5,0.1,135.5,0.0,223.6,0.18,272.7,0.47,94.6,0.74,91.4,1.0,90.8,0.01,94.6,0.07,309.1,0.21,281.2,0.42,84.5,0.48,78.6,0.58,85.1,1.0
221.2,79.4,177.6,174.1,209.6,207.5,156.0,174.7,0.02,66.2,0.0,249.7,0.19,265.3,0.41,91.4,0.5,99.7,0.54,93.4,0.09,38.8,0.02,315.1,0.19,274.5,0.48,83.5,0.74,87.5,1.0,88.2,1.0
184.4,183.5,169.7,219.6,152.1,154.2,186.3,201.0,0.08,136.5,0.0,215.5,0.19,267.2,0.47,94.8,0.73,91.7,1.0,91.0,0.0,107.5,0.04,287.8,0.21,275.1,0.42,85.8,0.56,82.5,0.61,84.7,1.0
202.1,116.2,175.5,176.5,199.4,206.1,172.5,174.8,0.01,70.3,0.0,265.9,0.2,265.5,0.41,92.3,0.53,97.9,0.55,96.0,0.07,43.1,0.01,301.7,0.2,272.4,0.47,85.2,0.74,88.2,1.0,88.8,1.0
184.0,183.3,172.4,189.3,156.1,160.2,182.9,192.0,0.07,135.4,0.01,227.4,0.22,268.6,0.46,93.7,0.72,90.9,1.0,90.3,0.0,97.9,0.06,284.7,0.25,276.2,0.41,84.8,0.53,82.9,0.61,83.1,1.0
200.5,129.2,175.3,177.0,199.9,206.3,173.4,173.0,0.0,72.7,0.0,263.7,0.21,264.4,0.41,93.4,0.52,98.2,0.55,96.8,0.05,44.3,0.01,295.9,0.21,271.2,0.47,86.4,0.74,88.9,1.0,89.4,1.0
183.6,184.7,169.3,192.7,155.3,162.2,184.7,187.3,0.08,131.5,0.0,220.0,0.21,268.0,0.47,93.7,0.73,90.8,1.0,90.4,0.02,98.6,0.04,281.2,0.23,275.9,0.42,85.1,0.55,82.3,0.59,82.4,1.0
194.9,153.2,176.1,176.1,198.3,204.7,176.0,175.1,0.0,72.3,0.01,267.0,0.21,264.9,0.41,93.4,0.53,97.5,0.55,97.2,0.06,47.5,0.0,299.7,0.2,271.3,0.46,86.0,0.73,88.9,1.0,89.4,1.0
183.4,185.5,170.6,193.3,152.7,165.1,187.4,184.3,0.08,133.0,0.0,230.5,0.23,269.3,0.46,93.9,0.72,90.7,1.0,90.4,0.01,94.5,0.05,279.9,0.24,275.8,0.42,84.8,0.55,82.4,0.6,82.7,1.0
195.7,150.3,176.7,172.8,197.5,206.6,176.0,173.4,0.01,72.4,0.0,268.8,0.21,265.6,0.42,92.9,0.54,96.8,0.56,96.2,0.06,45.0,0.01,295.9,0.22,270.7,0.48,86.3,0.74,89.3,1.0,89.2,1.0
183.1,185.4,176.5,186.4,155.8,162.1,185.8,186.9,0.06,131.0,0.0,236.3,0.23,270.0,0.46,93.1,0.73,90.3,1.0,90.3,0.0,99.2,0.05,280.6,0.26,275.9,0.42,84.8,0.56,83.4,0.63,83.6,1.0
192.8,26.6,175.7,174.6,196.6,205.5,176.1,173.9,0.01,71.7,0.0,270.6,0.22,266.2,0.43,92.1,0.55,95.5,0.51,96.3,0.07,47.2,0.01,300.2,0.23,271.4,0.48,86.3,0.74,88.9,1.0,89.0,1.0
184.0,184.7,179.4,192.4,156.6,164.0,184.4,184.6,0.07,131.3,0.0,231.6,0.24,269.2,0.47,93.3,0.74,90.7,1.0,90.6,0.0,98.2,0.06,278.4,0.26,275.7,0.43,84.8,0.58,84.0,0.71,85.7,1.0
183.0,149.7,176.2,173.0,197.4,205.7,175.8,172.8,0.03,76.8,0.0,264.3,0.21,264.2,0.44,93.1,0.61,94.8,0.67,92.8,0.07,49.6,0.01,294.1,0.24,270.1,0.49,87.2,0.75,89.8,1.0,89.5,1.0
182.4,185.0,180.4,190.5,157.6,166.0,185.9,181.5,0.04,128.5,0.0,248.9,0.23,270.4,0.46,92.8,0.73,90.1,1.0,90.0,0.01,100.7,0.02,274.8,0.22,275.6,0.42,86.9,0.62,86.1,0.78,87.7,1.0
209.4,22.7,58.7,54.7,6.2,63.9,61.0,253.7,0.33,137.6,0.6,111.1,0.39,86.1,0.59,107.9,1.0,107.8,0.73,99.1,0.0,133.4,0.19,35.9,0.33,70.2,0.44,95.7,0.39,85.5,0.78,91.5,1.0
22.6,19.2,147.0,20.3,69.2,6.7,105.5,66.1,0.0,82.9,0.17,146.8,0.3,114.8,0.47,86.4,0.32,97.3,0.71,89.8,0.31,41.1,0.57,68.1,0.38,95.7,0.61,74.5,1.0,72.5,0.79,79.0,1.0
216.7,13.3,144.5,218.3,7.3,63.9,58.8,268.6,0.3,136.3,0.58,110.3,0.35,86.1,0.58,105.5,1.0,108.7,0.72,101.8,0.0,86.9,0.21,38.9,0.3,72.2,0.46,93.2,0.49,90.9,0.79,93.0,1.0
18.3,8.9,142.6,23.0,66.2,8.3,99.4,62.5,0.0,102.1,0.19,142.5,0.28,115.5,0.49,88.0,0.4,84.5,0.7,89.0,0.29,42.7,0.57,68.5,0.36,94.5,0.59,74.8,1.0,71.3,0.78,79.9,1.0
216.4,14.4,174.8,188.3,7.4,63.1,57.3,271.1,0.3,138.8,0.58,111.2,0.35,87.9,0.57,106.6,1.0,109.4,0.69,101.1,0.0,60.6,0.23,37.8,0.32,72.3,0.49,92.0,0.62,91.6,0.89,93.7,1.0
105.4,273.7,140.3,15.1,62.1,7.6,90.5,60.7,0.0,119.5,0.22,142.0,0.27,117.9,0.5,89.5,0.52,81.9,0.8,89.4,0.27,40.0,0.55,68.5,0.33,93.5,0.57,75.1,1.0,70.4,0.74,78.3,1.0
220.3,27.4,136.2,228.3,8.7,60.5,55.9,281.4,0.27,139.4,0.55,111.7,0.32,88.9,0.55,105.7,1.0,110.5,0.73,96.2,0.0,52.1,0.24,39.2,0.27,71.8,0.47,90.6,0.5,88.2,0.83,92.7,1.0
139.7,246.3,139.4,9.4,60.5,7.5,78.4,61.5,0.0,116.1,0.25,139.9,0.27,112.3,0.5,89.9,0.62,81.1,0.84,89.1,0.27,39.7,0.54,68.1,0.32,93.5,0.58,75.3,1.0,70.2,0.78,74.6,1.0
223.6,18.1,207.0,137.2,7.1,58.7,58.2,292.8,0.25,141.0,0.52,111.5,0.29,87.3,0.55,105.1,1.0,111.5,0.67,98.0,0.0,52.8,0.27,41.0,0.26,75.2,0.49,90.1,0.67,98.7,0.98,93.1,1.0
173.5,203.2,136.2,17.1,56.5,7.2,64.6,60.1,0.0,120.2,0.28,137.5,0.26,107.6,0.52,89.9,0.89,85.7,0.97,87.0,0.25,37.7,0.52,67.8,0.3,94.0,0.57,75.0,1.0,68.5,0.74,78.2,1.0
227.1,18.8,202.4,141.7,10.3,57.1,56.2,300.0,0.25,139.4,0.53,111.9,0.29,86.8,0.57,103.1,1.0,110.9,0.69,96.6,0.0,57.0,0.29,41.8,0.26,75.7,0.52,88.5,0.79,97.6,1.0,93.7,1.0
169.7,26.8,135.1,6.5,54.7,7.7,63.7,60.2,0.0,116.3,0.28,135.3,0.26,106.0,0.53,90.9,0.93,85.3,0.89,86.6,0.24,38.8,0.51,67.8,0.29,93.7,0.57,75.9,1.0,68.6,0.79,72.9,1.0
228.7,13.3,206.4,133.5,9.3,56.1,56.0,299.9,0.24,140.9,0.52,112.0,0.28,87.8,0.58,103.1,1.0,111.6,0.72,101.7,0.0,51.3,0.29,41.6,0.25,76.5,0.53,88.5,0.76,97.9,1.0,92.6,1.0
174.6,185.0,134.1,3.0,54.1,7.8,63.0,61.5,0.0,116.6,0.29,134.2,0.26,106.2,0.54,90.7,0.88,87.2,1.0,87.1,0.23,39.2,0.5,67.2,0.29,93.3,0.58,75.9,1.0,68.1,0.79,71.7,1.0
231.7,9.7,202.6,139.0,10.7,54.1,56.9,302.4,0.22,140.4,0.48,113.0,0.26,89.2,0.54,102.4,0.94,112.3,0.67,102.3,0.0,60.8,0.27,45.3,0.23,77.9,0.52,88.2,0.78,97.0,1.0,92.5,1.0
176.0,182.5,133.0,2.0,53.4,9.1,57.1,61.1,0.0,119.1,0.27,133.9,0.23,107.1,0.52,91.8,0.8,88.8,1.0,88.1,0.2,39.1,0.45,66.4,0.26,93.4,0.54,76.5,0.93,67.9,0.78,69.8,1.0
233.6,8.7,192.4,157.3,11.7,53.1,55.4,303.7,0.21,140.0,0.46,113.8,0.24,88.9,0.54,102.2,0.92,112.9,0.7,105.0,0.0,59.1,0.27,46.3,0.22,77.7,0.52,88.5,0.8,94.0,1.0,92.1,1.0
177.7,181.9,131.4,1.8,53.9,9.8,56.6,61.1,0.0,115.3,0.27,133.0,0.23,107.0,0.5,91.1,0.77,88.7,1.0,88.1,0.19,39.6,0.44,65.9,0.25,92.2,0.52,76.4,0.91,67.2,0.71,71.3,1.0
234.1,14.3,184.9,172.8,13.7,54.2,55.9,306.9,0.16,138.6,0.41,115.1,0.22,90.7,0.5,102.1,0.87,113.5,0.69,104.8,0.0,65.3,0.25,49.0,0.2,78.9,0.49,88.3,0.79,91.9,1.0,92.0,1.0
183.5,169.8,128.9,0.2,50.4,13.3,56.2,59.0,0.0,117.5,0.25,130.6,0.21,103.6,0.48,91.6,0.74,90.9,1.0,88.2,0.17,39.9,0.41,64.3,0.23,91.1,0.49,77.0,0.86,66.4,0.69,70.0,1.0
233.9,16.2,180.8,180.6,14.5,52.9,55.4,307.7,0.16,138.7,0.4,115.9,0.21,91.3,0.49,102.4,0.85,113.9,0.66,103.5,0.0,63.0,0.25,49.3,0.2,78.8,0.47,88.4,0.76,90.9,1.0,92.1,1.0
183.8,169.5,128.6,1.0,51.5,13.3,55.0,59.7,0.0,115.6,0.25,130.5,0.21,102.7,0.47,91.6,0.73,91.0,1.0,88.2,0.16,39.2,0.4,63.7,0.22,90.7,0.48,76.7,0.84,66.1,0.68,70.0,1.0
235.5,18.6,178.0,182.8,17.5,51.3,54.5,310.4,0.13,137.9,0.36,117.3,0.18,91.1,0.46,101.7,0.79,114.2,0.62,103.1,0.0,58.1,0.25,49.6,0.18,77.8,0.45,87.9,0.75,90.0,1.0,91.6,1.0
184.3,169.2,127.2,2.1,49.5,16.8,54.4,57.7,0.0,122.8,0.26,131.0,0.2,101.9,0.44,92.6,0.73,91.6,1.0,88.5,0.13,40.6,0.37,63.0,0.21,91.0,0.44,77.7,0.8,65.6,0.63,70.4,1.0
237.4,13.9,178.4,182.9,19.7,48.7,52.9,311.7,0.12,136.3,0.35,117.6,0.17,92.1,0.45,101.1,0.77,114.1,0.6,104.5,0.0,58.3,0.25,51.6,0.17,77.4,0.44,87.1,0.75,89.6,1.0,91.4,1.0
184.7,170.6,124.0,13.6,51.6,18.4,50.7,55.6,0.0,119.8,0.24,129.3,0.18,102.2,0.44,92.8,0.73,91.4,1.0,88.5,0.11,44.3,0.35,63.2,0.18,90.0,0.43,78.5,0.77,65.3,0.61,74.2,1.0
240.0,16.0,174.0,185.1,22.1,49.1,50.9,307.5,0.09,138.1,0.33,120.4,0.15,94.0,0.43,102.0,0.73,116.5,0.58,105.9,0.0,53.1,0.23,51.1,0.16,79.3,0.43,87.8,0.71,89.4,1.0,91.6,1.0
187.3,169.3,122.3,9.3,50.7,21.8,49.0,54.2,0.0,122.2,0.23,128.7,0.16,99.3,0.42,92.4,0.72,91.4,1.0,88.4,0.09,42.0,0.32,59.8,0.16,87.8,0.41,77.4,0.73,63.3,0.58,70.6,1.0
241.2,9.9,174.3,184.7,23.8,49.3,50.0,310.4,0.08,136.0,0.32,120.5,0.14,93.6,0.42,101.6,0.72,116.9,0.56,107.4,0.0,55.0,0.23,51.7,0.15,79.4,0.43,87.6,0.72,89.4,1.0,91.4,1.0
187.9,169.6,120.9,11.9,50.8,21.5,43.8,54.2,0.0,123.1,0.24,128.5,0.14,100.6,0.41,92.9,0.71,91.8,1.0,88.7,0.07,43.3,0.31,60.3,0.15,88.1,0.4,77.7,0.72,62.9,0.57,71.6,1.0
241.9,12.0,174.9,183.9,22.8,49.1,50.5,48.3,0.08,137.5,0.31,120.6,0.13,92.6,0.42,101.7,0.72,117.2,0.55,106.2,0.0,54.3,0.23,51.6,0.14,81.0,0.43,87.3,0.72,89.4,1.0,91.4,1.0
187.6,170.9,118.6,8.5,51.3,22.5,43.4,52.9,0.0,124.5,0.24,129.4,0.13,100.2,0.42,93.0,0.72,91.7,1.0,88.9,0.07,42.6,0.3,59.9,0.14,88.5,0.4,78.3,0.71,62.9,0.56,71.0,1.0
243.8,9.4,175.0,183.4,23.9,49.9,47.4,42.1,0.07,136.7,0.29,121.0,0.11,93.3,0.42,100.8,0.7,117.0,0.57,109.2,0.0,50.0,0.23,49.4,0.12,76.6,0.44,86.9,0.72,89.2,1.0,91.2,1.0
186.7,173.0,118.1,15.3,53.1,21.8,39.5,49.2,0.0,124.4,0.23,130.7,0.12,101.4,0.42,92.7,0.72,91.3,1.0,88.9,0.07,42.9,0.29,59.9,0.12,87.3,0.41,78.5,0.69,62.6,0.56,73.5,1.0
245.3,9.0,175.3,181.8,24.0,54.0,37.3,25.6,0.05,134.7,0.24,121.5,0.03,91.6,0.42,100.4,0.67,117.2,0.53,106.8,0.0,50.6,0.21,47.5,0.04,75.5,0.43,86.8,0.7,89.1,1.0,90.9,1.0
187.1,174.2,116.2,16.5,56.8,21.5,22.7,38.5,0.0,127.0,0.21,133.2,0.05,108.8,0.43,93.0,0.72,91.5,1.0,89.3,0.04,44.3,0.24,59.7,0.04,86.5,0.4,79.5,0.66,62.6,0.56,71.9,1.0
243.8,10.7,174.1,183.1,24.8,60.3,30.3,8.0,0.06,133.9,0.21,123.1,0.0,94.9,0.43,99.6,0.67,116.4,0.56,107.0,0.04,51.1,0.22,45.2,0.02,63.8,0.46,86.6,0.72,88.8,1.0,90.8,1.0
189.4,171.5,119.5,11.1,64.7,23.6,7.2,26.8,0.05,127.9,0.21,136.3,0.02,112.6,0.45,92.5,0.73,91.5,1.0,88.9,0.06,44.5,0.22,57.1,0.0,83.8,0.41,79.2,0.66,62.8,0.56,70.6,1.0
244.1,12.5,174.1,182.7,25.3,62.7,28.1,4.2,0.09,136.0,0.2,125.7,0.0,96.1,0.44,100.3,0.67,117.1,0.56,106.7,0.07,49.9,0.22,43.5,0.03,61.8,0.47,87.0,0.73,89.1,1.0,90.9,1.0
187.9,173.0,120.3,14.7,68.4,25.7,0.7,21.3,0.07,131.4,0.23,140.1,0.02,124.8,0.46,93.5,0.73,91.8,1.0,89.2,0.08,47.6,0.21,56.6,0.0,84.3,0.42,79.8,0.66,63.1,0.56,72.1,1.0
242.1,10.1,174.8,181.9,27.9,69.0,20.7,4.6,0.11,135.7,0.2,127.2,0.0,76.7,0.46,99.0,0.68,116.4,0.59,108.0,0.12,40.7,0.26,35.9,0.04,37.9,0.5,85.1,0.74,88.0,1.0,90.1,1.0
186.9,174.0,120.0,22.4,73.5,25.8,8.2,18.1,0.11,134.4,0.25,144.3,0.04,139.4,0.47,94.7,0.74,92.4,1.0,89.8,0.1,48.4,0.22,56.8,0.0,100.3,0.44,80.6,0.68,62.8,0.59,74.8,1.0
244.0,10.2,176.7,182.8,28.6,70.5,21.2,9.4,0.13,132.5,0.19,126.9,0.0,68.2,0.47,98.6,0.69,116.5,0.57,105.4,0.11,46.8,0.25,37.2,0.05,39.5,0.5,85.1,0.75,88.0,1.0,90.2,1.0
186.7,172.7,119.0,19.4,74.4,24.6,15.1,19.0,0.11,129.9,0.25,143.3,0.05,147.8,0.49,93.8,0.75,92.2,1.0,89.5,0.13,48.3,0.21,55.5,0.0,106.6,0.46,80.1,0.68,63.1,0.59,74.2,1.0
242.5,13.6,176.2,182.7,39.2,74.6,10.9,15.5,0.13,135.8,0.18,132.8,0.0,1.6,0.47,98.8,0.68,116.3,0.58,105.6,0.12,39.8,0.25,31.7,0.06,11.8,0.5,84.9,0.74,87.9,1.0,90.1,1.0
185.5,173.9,118.8,16.6,76.2,30.4,19.0,15.4,0.13,134.8,0.25,145.9,0.05,168.2,0.49,94.9,0.76,92.4,1.0,89.8,0.14,48.4,0.19,52.4,0.0,138.3,0.46,81.0,0.68,63.6,0.6,72.5,1.0
245.8,17.3,177.9,181.4,57.9,82.2,10.6,26.8,0.13,138.9,0.16,139.6,0.0,267.1,0.47,100.1,0.67,117.8,0.57,104.6,0.09,42.2,0.21,28.5,0.03,340.2,0.49,85.9,0.74,88.8,1.0,90.8,1.0
186.2,174.2,118.3,9.0,85.3,35.1,30.4,9.6,0.11,136.6,0.22,152.0,0.05,199.1,0.48,93.6,0.74,91.8,1.0,89.5,0.13,40.4,0.17,44.8,0.0,359.1,0.46,79.4,0.67,62.1,0.58,70.5,1.0
245.0,15.4,177.7,182.7,69.8,87.1,24.6,35.3,0.11,138.0,0.13,140.2,0.0,272.3,0.45,99.9,0.67,117.9,0.57,106.4,0.07,42.2,0.19,25.8,0.03,327.6,0.48,86.0,0.74,88.8,1.0,90.9,1.0
184.9,175.0,118.2,12.7,86.9,35.5,33.9,5.0,0.04,152.9,0.16,162.0,0.03,232.5,0.43,93.5,0.72,91.3,1.0,88.9,0.08,26.4,0.11,33.5,0.0,302.3,0.41,77.9,0.65,60.4,0.54,70.0,1.0
245.4,11.4,178.3,182.4,251.6,100.5,64.0,311.0,0.09,138.6,0.11,146.1,0.0,268.4,0.45,100.2,0.66,118.0,0.56,108.4,0.05,41.9,0.15,18.6,0.03,318.8,0.47,86.3,0.73,89.0,1.0,91.1,1.0
185.3,174.8,117.7,5.4,256.7,67.6,51.9,29.1,0.04,135.9,0.14,161.9,0.03,236.7,0.45,92.3,0.73,90.8,1.0,88.7,0.08,35.0,0.11,33.4,0.0,310.8,0.43,77.9,0.66,60.8,0.56,67.7,1.0
246.5,0.4,177.4,182.8,252.6,111.2,64.4,300.9,0.11,133.2,0.13,143.1,0.0,250.4,0.48,99.1,0.68,117.3,0.59,111.5,0.08,45.8,0.17,16.9,0.05,319.5,0.51,86.3,0.75,88.6,1.0,90.6,1.0
184.8,175.6,116.9,2.0,246.5,108.0,62.1,294.5,0.06,132.0,0.13,163.5,0.03,231.1,0.47,92.4,0.73,90.8,1.0,88.8,0.09,37.7,0.11,28.9,0.0,321.3,0.44,79.2,0.64,62.9,0.56,67.4,1.0
246.4,4.9,178.7,183.0,204.8,122.4,109.1,287.4,0.09,131.6,0.08,156.3,0.0,255.7,0.46,99.3,0.66,116.9,0.58,110.6,0.05,50.9,0.12,13.9,0.03,310.9,0.49,86.6,0.74,89.1,1.0,91.2,1.0
184.8,175.1,115.4,13.0,235.3,138.9,74.5,264.3,0.05,129.1,0.12,165.6,0.03,237.5,0.47,92.3,0.73,90.6,1.0,88.5,0.08,44.6,0.09,22.8,0.0,306.0,0.44,79.8,0.65,62.3,0.54,74.5,1.0
248.8,27.2,179.5,180.8,194.2,140.4,117.4,270.8,0.04,136.5,0.04,189.6,0.06,269.0,0.43,99.3,0.63,117.6,0.57,106.2,0.0,44.6,0.08,352.8,0.06,289.9,0.46,86.6,0.7,89.3,1.0,91.2,1.0
184.4,174.3,114.6,13.5,215.7,161.0,97.0,248.9,0.0,135.2,0.06,183.5,0.05,248.8,0.44,94.2,0.71,92.1,1.0,89.5,0.01,46.9,0.02,351.0,0.04,268.7,0.4,82.1,0.6,64.3,0.52,73.2,1.0
245.7,26.3,178.7,180.4,193.4,148.1,121.0,262.4,0.04,139.4,0.05,198.3,0.09,264.6,0.42,100.3,0.64,118.4,0.57,105.4,0.0,42.0,0.09,343.8,0.09,285.3,0.45,87.0,0.72,89.7,1.0,91.2,1.0
184.3,175.0,115.1,19.8,211.7,163.3,100.3,247.6,0.0,133.5,0.07,191.2,0.07,253.9,0.44,92.9,0.72,91.1,1.0,88.9,0.03,42.2,0.05,343.0,0.07,276.3,0.4,80.5,0.62,62.4,0.52,76.1,1.0
246.4,31.0,179.2,180.8,184.6,164.9,136.7,237.7,0.03,135.1,0.05,217.4,0.15,266.1,0.41,100.0,0.62,118.2,0.57,102.4,0.0,50.8,0.06,328.3,0.14,276.9,0.45,87.1,0.71,89.7,1.0,91.3,1.0
183.2,175.4,114.5,326.4,196.4,177.1,126.6,223.7,0.0,129.5,0.04,203.6,0.12,259.2,0.45,93.8,0.71,91.8,1.0,89.4,0.01,45.2,0.02,321.1,0.12,270.5,0.4,81.0,0.6,63.8,0.56,74.4,1.0
247.5,32.4,179.1,180.3,180.5,168.9,145.6,228.5,0.04,133.0,0.04,220.0,0.17,266.2,0.42,100.4,0.62,118.0,0.58,103.5,0.0,55.7,0.04,324.5,0.14,276.2,0.46,87.8,0.7,90.0,1.0,91.4,1.0
182.7,176.4,114.5,326.4,191.7,177.2,132.2,222.7,0.0,123.9,0.01,206.6,0.11,260.9,0.45,93.4,0.71,91.4,1.0,89.4,0.01,48.5,0.01,321.4,0.11,271.4,0.41,80.9,0.6,63.8,0.56,78.0,1.0
247.6,26.8,179.5,180.1,179.5,171.9,151.2,223.3,0.03,131.4,0.03,223.9,0.17,266.5,0.41,99.9,0.61,118.0,0.55,102.3,0.0,57.9,0.03,321.2,0.15,275.3,0.45,87.3,0.7,89.8,1.0,91.2,1.0
181.9,177.5,113.4,23.1,189.0,182.2,139.6,211.0,0.0,124.5,0.04,219.4,0.17,263.5,0.45,92.3,0.71,90.5,1.0,88.7,0.03,39.6,0.05,312.5,0.19,272.3,0.41,79.8,0.61,62.2,0.54,75.5,1.0
247.3,11.0,179.7,179.3,177.0,174.4,158.3,216.1,0.02,127.7,0.0,229.2,0.17,268.2,0.41,99.6,0.59,116.7,0.53,109.1,0.0,59.4,0.02,318.9,0.14,277.8,0.45,87.1,0.71,89.6,1.0,90.9,1.0
183.8,176.4,112.7,23.7,184.3,184.7,144.5,202.3,0.0,120.1,0.0,218.2,0.14,265.0,0.45,92.0,0.7,90.6,1.0,88.8,0.02,45.5,0.0,318.6,0.14,274.9,0.41,80.2,0.6,63.4,0.54,75.6,1.0
248.7,14.1,180.0,178.5,177.4,177.7,159.9,207.7,0.01,128.7,0.01,235.5,0.2,270.1,0.42,99.5,0.59,116.7,0.53,109.8,0.0,55.4,0.02,314.5,0.17,279.2,0.46,86.6,0.71,89.3,1.0,90.5,1.0
184.0,177.3,116.5,329.9,179.8,184.0,151.6,200.9,0.0,126.2,0.02,226.5,0.18,265.4,0.44,92.3,0.7,90.6,1.0,88.9,0.01,41.6,0.03,307.9,0.19,272.2,0.4,79.3,0.61,62.2,0.55,75.6,1.0
248.7,38.7,179.7,180.0,175.1,178.8,162.7,205.9,0.01,130.5,0.01,235.8,0.2,269.5,0.42,99.6,0.6,117.3,0.58,104.6,0.0,56.2,0.02,312.2,0.18,277.2,0.46,86.9,0.72,89.5,1.0,90.9,1.0
183.5,176.6,115.3,25.0,177.6,184.1,157.4,199.9,0.0,126.0,0.02,231.3,0.2,266.0,0.44,92.3,0.7,90.6,1.0,88.7,0.02,42.0,0.02,310.5,0.2,272.1,0.4,79.4,0.6,62.2,0.53,74.7,1.0
247.0,40.8,179.5,179.8,173.7,180.6,164.5,203.3,0.02,130.4,0.0,235.2,0.19,269.6,0.42,99.5,0.6,116.6,0.59,104.7,0.0,57.2,0.0,312.8,0.17,276.2,0.46,86.8,0.72,89.3,1.0,90.7,1.0
182.3,177.8,116.3,25.5,177.3,184.7,158.4,198.5,0.0,121.6,0.0,231.7,0.18,266.3,0.45,91.8,0.71,90.0,1.0,88.4,0.02,43.3,0.02,312.2,0.19,273.6,0.41,79.0,0.62,62.4,0.55,75.2,1.0
247.0,12.0,180.2,178.1,174.5,180.3,162.7,202.8,0.0,131.6,0.01,240.4,0.2,271.2,0.41,99.1,0.59,116.6,0.53,109.1,0.0,52.6,0.02,311.9,0.18,278.8,0.45,86.2,0.71,89.1,1.0,90.3,1.0
182.7,176.8,116.9,18.4,176.4,186.5,160.4,196.0,0.0,126.6,0.0,229.3,0.18,264.6,0.45,93.1,0.71,91.0,1.0,89.0,0.01,43.5,0.0,309.3,0.18,271.4,0.41,80.4,0.62,63.4,0.51,78.3,1.0
247.5,43.7,179.4,179.6,174.0,181.1,164.8,202.2,0.02,129.3,0.0,232.9,0.18,269.2,0.42,99.4,0.59,116.3,0.59,105.9,0.01,56.5,0.01,312.7,0.17,276.6,0.46,86.8,0.71,89.2,1.0,90.6,1.0
183.5,176.6,115.9,19.7,176.8,185.8,161.8,196.9,0.0,128.0,0.01,228.5,0.18,263.1,0.44,93.2,0.71,91.3,1.0,89.4,0.01,44.2,0.01,307.9,0.18,271.6,0.4,80.7,0.6,63.3,0.51,78.2,1.0
